legacy_r_number,r_number,customer_name,customer_number,type_short,description_invoice,description_private,voltage,wattage,die_shape
R2106,R2106,YATALA PLASTICS,C000220,SCB,,"1/2"" T/C @90Deg Plug @90Deg",240,1250,90 x 140
R2107,R2107,YATALA PLASTICS,C000220,SCB,,"1/2"" T/C@90Deg Plug @90Deg",240,1100,D270mm x W45mm
R2108,R2108,YATALA PLASTICS,C000220,SCB,,"1/2"" T/C@180Deg Plug @90Deg",240,1200,245 x 45
R2109,R2109,APP,C000024,SQPP,,"Plugall on 475 Leg 9/16"" T/C on 150 Leg centre ZONE 4",240,1500,230 x 50
R2110,R2110,APP,C000024,RAPP,,Plugall on 470 Leg 32mm T/C on 150 Leg centre ZONE 2 & 3,240,2500,475+150+475+150X40
R2111,R2111,APP,C000024,RAPP,,Plugall on 150 Leg 32mm T/C on 470 Leg 50mm from edge ZONE 2 & 3,240,2500,470+150X135
R2112,R2112,APP,C000024,RAPP,,Plugall on 320 Leg 32mm T/C on 150 Leg centre,240,1800,150+470X135
R2113,R2113,APP,C000024,RAPP,,Plugall on 150 Leg 32mm T/C on 320 Leg centre,240,1800,320+150X155
R2114,R2114,APP,C000024,SCB,,9/16 T/C through sheath in gap @90 Deg,240,500,150+320X155
R2115,R2115,VINIDEX - HEAD OFFICE,C000201,SCB,,Layflat Plugall @180Deg,240,2000,140 x 35
R2116,R2116,SILVER FOX CHEMICALS,C000173,SSCB,,"Plugall in centre 1/2""T/C 50 from end",240,1000,220 x 125
R2117,R2117,WUNDERLICH PLASTICS,C000218,SCB,,"7/8"" T/C Hole & Terminal Housing @60Deg",240,900,440X50 S/L680
R2118,R2118,VINIDEX - PERTH,C000200,SCB,,"1"" T/C Hole @90Deg Plugall@180Deg",240,3200,78 x 125
R2119,R2119,AUSTRALIAN CUSTOM PIPES,C000003,BCB,,"40mm Clamp Gap,7/8"" T/C @90Deg ",240,1600,230 x 160
R2120,R2120,ISTRA ELEMENTS,C000094,SCB,,Plugall @180Deg,240,250,300 x 50
R2121,R2121,ISTRA ELEMENTS,C000094,BCB,,Screw Terminals 32mm Cut Out,240,2400,105 x 35
R2122,R2122,VPI BUILDING,C000062,SCB,,"3/4"" T/C @90Deg Plugall @180Deg",240,2000,245 x 90
R2123,R2123,APP,C000024,SCB,,plugall 40 from edge,240,1100,285 x 70
R2124,R2124,VINIDEX - HEAD OFFICE,C000201,SCB,,"1""x50mm Long Holes @90 &270Deg",240,2800,100 x 105
R2125,R2125,VINIDEX - WAGGA WAGGA,C000209,SCB,,2 WAY TERM BOX 1/2' HOLE WITH NUT,240,2000,424 x 130
R2126,R2126,VINIDEX - WAGGA WAGGA,C000209,SCB,,2 WAY TERM BOX 1/2' HOLE WITH NUT,240,1600,442 x 50
R2127,R2127,TUSCAN INDUSTRIES,C000194,SPP,,STANDARD HEATREX PLUGALL 4 HOLES,240,400,D457mm x W40mm
R2128,R2128,TUSCAN INDUSTRIES,C000194,SPP,,STANDARD HEATREX PLUGALL 4 HOLES,240,700,160 x 80
